comparison,split,condition,metric,observed_reference,observed_candidate,observed_difference,bootstrap_mean_difference,bootstrap_std,ci_low,ci_high,includes_zero,analysis_type,interpretation
A1_vs_A0,known_test,StrongRobustTest,average_precision,0.8456794316659635,0.8748305494975142,0.029151117831550666,0.02861727121043667,0.010974402567795954,0.006811476567192965,0.050069125603528775,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,StrongRobustTest,roc_auc,0.8440481686672823,0.8745383194829179,0.030490150815635664,0.030711122653124038,0.0074494864120808295,0.016362847222222164,0.045707152681594226,False,primary_strong_robust,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,known_test,StrongRobustTest,average_precision,0.8456794316659635,0.8783352189952183,0.03265578732925478,0.03268481076049996,0.008715492721602184,0.016216822578398585,0.050389299406843745,False,primary_strong_robust,consistent positive difference under the current fixed-sample bootstrap
A3_vs_A0,known_test,StrongRobustTest,roc_auc,0.8440481686672823,0.8714171668205601,0.027368998153277868,0.027223273988150207,0.010667583914288752,0.006414834372114392,0.04754167147583869,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A3_vs_A0,known_test,StrongRobustTest,average_precision,0.8456794316659635,0.8777158067323648,0.032036375066401335,0.0316758069454083,0.011459793779251128,0.009173767521279522,0.05362696394622771,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A1_vs_A0,known_test,original,roc_auc,0.951927516158818,0.929574484456756,-0.022353031702062154,-0.022452631578947353,0.00767551434929733,-0.03835891812865502,-0.008464142813173314,False,secondary_ablation,consistent negative difference under the current fixed-sample bootstrap
A1_vs_A0,known_test,original,average_precision,0.9573603801739043,0.9409298228232948,-0.016430557350609498,-0.016490232047634137,0.007113584585119072,-0.031114266862747188,-0.0028840298596914853,False,secondary_ablation,consistent negative difference under the current fixed-sample bootstrap
A1_vs_A0,known_test,jpeg_q50,roc_auc,0.9072406894429056,0.8823291782086797,-0.024911511234225858,-0.024968178670360105,0.010525327422797066,-0.04593769236688218,-0.004673553401046463,False,secondary_ablation,consistent negative difference under the current fixed-sample bootstrap
A1_vs_A0,known_test,jpeg_q50,average_precision,0.913641465008496,0.894446630837454,-0.019194834171042063,-0.01922843940953805,0.010486644146221325,-0.039494397217233246,0.0012315047015266697,True,secondary_ablation,not clearly distinguishable from zero under this fixed-sample bootstrap
A1_vs_A0,known_test,resize_112,roc_auc,0.8307556171129578,0.8431440443213296,0.012388427208371855,0.012500203908895046,0.014322529714723638,-0.016197291474299717,0.04033933518005539,True,secondary_ablation,not clearly distinguishable from zero under this fixed-sample bootstrap
